high_school_id,high_school_name
0,Bloomfield 
1,John Jay 
2,Power Memorial 
3,Gulfport 
4,Lycee Aristide Briand 
5,Wheeler 
6,Saint Joseph 
7,Fairdale 
8,Etna 
9,
10,Our Savior Lutheran 
11,Eisenhower 
12,Metropolitan 
13,Palos Verdes 
14,Troy 
15,Mesquite Horn 
16,Putnam City 
17,South Fulton 
18,Westchester 
19,Mount St. Joseph 
20,Central Gwinnett 
21,Hartford Public 
22,Notre Dame Prep 
23,Snyder 
24,Northside in P
25,Victoria Rock Prep 
26,Saint Pius X 
27,Brookline in Brookl
28,Centennial 
29,Oak Park HS 
30,Crockett 
31,Westinghouse 
32,De Smet Jesuit 
33,North Eugene 
34,Casa Grande 
35,West Oaks Academy 
36,Montverde Academy 
37,Brophy College Preparatory 
38,Roosevelt 
39,Canterbury Academy 
40,Thomas Jefferson in Bloom
41,Seagoville 
42,Wamogo 
43,Curie 
44,Oak Hill Academy 
45,Jordan 
46,William M. Raines 
47,Linganore 
48,Athlete Institute 
49,Heritage Hall School 
50,Concord 
51,Denby 
52,Hamilton Heights Christian 
53,Chrysler 
54,Word of God Academy 
55,Manual Arts 
56,Providence School 
57,The Episcopal Academy 
58,New Hanover in Wilm
59,Pennsbury 
60,Wyandotte 
61,Shawnee 
62,Milton 
63,Hillcrest 
64,Desert Ridge 
65,Crane Technical Preparatory 
66,Richard Montgomery 
67,McClymonds 
68,East 
69,Lynwood 
70,McEachern in Powder Spr
71,Hoboken 
72,Benjamin Cardozo 
73,Okota Grammar School 
74,Christ the King 
75,Walther Lutheran 
76,Norcross 
77,Monarch 
78,Monroe 
79,Iola 
80,DeLaSalle in M
81,Maryvale 
82,Laurinburg Institute in Laur
83,Thomas Edison 
84,Portland 
85,North Torrance 
86,Doss 
87,Roth 
88,St. Francis de Sales 
89,Evan E. Worthing 
90,Metro 
91,Junction City 
92,Mullens 
93,Montrose Christian School 
94,Archbishop Molloy 
95,St. Anthony 
96,George Washington Carver High School of Engineering and Science 
97,Simeon 
98,Rancho Alamitos 
99,Bowen 
100,Oak Ridge 
101,Crim 
102,East Atlanta 
103,Creighton Preparatory School 
104,Bland 
105,Catholic Regional College 
106,Dominican 
107,Towson Catholic 
108,Rancho 
109,Dawson 
110,Jefferson City 
111,Pershing 
112,Padre Anacleto 
113,Taft 
